演唱会名称,艺人,地点,时间,票价,链接
“九粒种子”理想后花园2024新专辑巡演-长春站,艺人：理想后花园,长春,2024.06.28 周五 19:30,88-128,https://detail.damai.com/item.htm?id=790457843309&clicktitle=“九粒种子”理想后花园2024新专辑巡演-长春站
6.26 蒸汽波专场City Pop 2.0 - 突如其来的爱情,,上海,2024.06.26 周三 19:30,168-388,https://detail.damai.com/item.htm?id=802849295719&clicktitle=6.26 蒸汽波专场City Pop 2.0 - 突如其来的爱情
郁一凡「直至台风过境」2024个人巡演 西安站,,西安,2024.07.05 周五 20:00,80-128,https://detail.damai.com/item.htm?id=803621566287&clicktitle=郁一凡「直至台风过境」2024个人巡演 西安站
【Bad News呈现】西原健一郎 2024 巡演 武汉站,,武汉,2024.06.29 周六 20:00,280-460,https://detail.damai.com/item.htm?id=803848752428&clicktitle=【Bad News呈现】西原健一郎 2024 巡演 武汉站
首次来华 | 名人堂传奇大师卡洛斯·约翰逊乐队 2024中国巡演 广州站,,广州,2024.07.27 周六 20:00,280-520,https://detail.damai.com/item.htm?id=802137983049&clicktitle=首次来华 | 名人堂传奇大师卡洛斯·约翰逊乐队 2024中国巡演 广州站
「万朵」—春日玫瑰2024新专辑巡演 深圳站,艺人：春日玫瑰,深圳,2024.06.22 周六 20:00,100-150,https://detail.damai.com/item.htm?id=777791024931&clicktitle=「万朵」—春日玫瑰2024新专辑巡演 深圳站
齐一《生活万岁》2024巡演 深圳站,,深圳,2024.06.28 周五 20:00,138-168,https://detail.damai.com/item.htm?id=790162874225&clicktitle=齐一《生活万岁》2024巡演 深圳站
Winky诗「人生无处不青山」2024巡演 武汉站,,武汉,2024.07.13 周六 19:30,299,https://detail.damai.com/item.htm?id=800412706182&clicktitle=Winky诗「人生无处不青山」2024巡演 武汉站
老王乐队「你也三十而立了么？」2024庆生巡演 天津站,艺人：老王乐队,天津,2024.06.14 周五 20:00,220-240,https://detail.damai.com/item.htm?id=771939990679&clicktitle=老王乐队「你也三十而立了么？」2024庆生巡演 天津站
大粉乐队「时光岛上」新专辑巡演 长沙站,艺人：大粉乐队,长沙,2024.07.05 周五 20:00,100,https://detail.damai.com/item.htm?id=794513674550&clicktitle=大粉乐队「时光岛上」新专辑巡演 长沙站
《爱•永恒》理查德·克莱德曼钢琴音乐会滨州站,,滨州,2024.07.01 周一 19:30,180-980,https://detail.damai.com/item.htm?id=785798256981&clicktitle=《爱•永恒》理查德·克莱德曼钢琴音乐会滨州站
齐一《生活万岁》2024巡演 西安站,,西安,2024.07.07 周日 20:00,138-168,https://detail.damai.com/item.htm?id=790275268945&clicktitle=齐一《生活万岁》2024巡演 西安站
肆囍乐队「GAME BOY」二O二四新专巡演宁波站,艺人：肆囍乐队,宁波,2024.06.30 周日 20:00,128-228,https://detail.damai.com/item.htm?id=775118176191&clicktitle=肆囍乐队「GAME BOY」二O二四新专巡演宁波站
动物园钉子户「出发！浅滩公路疾行」2024巡演 郑州站,艺人：动物园钉子户,郑州,2024.09.20 周五 20:00,100-120,https://detail.damai.com/item.htm?id=794686205148&clicktitle=动物园钉子户「出发！浅滩公路疾行」2024巡演 郑州站
阿那亚戏剧节—DDC特别演出D2：不留行 ft.尹冲 / 企鹅强尼,,秦皇岛,2024.06.21 周五 21:00,90,https://detail.damai.com/item.htm?id=795091995708&clicktitle=阿那亚戏剧节—DDC特别演出D2：不留行 ft.尹冲 / 企鹅强尼
【全座席】曹思義 2024「四时光景」吉他演奏会 成都站,,成都,2024.07.27 周六 14:00,180-300,https://detail.damai.com/item.htm?id=799426076243&clicktitle=【全座席】曹思義 2024「四时光景」吉他演奏会 成都站
布朗尼2024巡演「鹦鹉螺号」成都站,艺人：布朗尼乐队,成都,2024.06.21 周五 20:30,139,https://detail.damai.com/item.htm?id=784313415009&clicktitle=布朗尼2024巡演「鹦鹉螺号」成都站
脑浊乐队2024年“SOS”夏季巡演 北京站,,北京,2024.06.29 周六 20:00,100-240,https://detail.damai.com/item.htm?id=795847970137&clicktitle=脑浊乐队2024年“SOS”夏季巡演 北京站
LACRIMOSA以泪洗面2024《激情》巡演 杭州站,,杭州,2024.06.19 周三 20:00,380-980,https://detail.damai.com/item.htm?id=790858375210&clicktitle=LACRIMOSA以泪洗面2024《激情》巡演 杭州站
寻找慈悲山｜悲剧药方X饮马池  长春专场演出,,长春,2024.06.22 周六 19:30,130,https://detail.damai.com/item.htm?id=799088468879&clicktitle=寻找慈悲山｜悲剧药方X饮马池  长春专场演出
脑浊乐队2024年“SOS”夏季巡演 成都站,,成都,2024.07.28 周日 20:00,100-240,https://detail.damai.com/item.htm?id=802623334815&clicktitle=脑浊乐队2024年“SOS”夏季巡演 成都站
6.29 「龙王游漓」钢心乐队桂林特别专场,,桂林,2024.06.29 周六 20:00,110-160,https://detail.damai.com/item.htm?id=789458824138&clicktitle=6.29 「龙王游漓」钢心乐队桂林特别专场
齐一《生活万岁》2024巡演 广州站,,广州,2024.06.29 周六 20:00,138-168,https://detail.damai.com/item.htm?id=790253024418&clicktitle=齐一《生活万岁》2024巡演 广州站
大粉乐队「时光岛上」新专辑巡演  北京站,艺人：大粉乐队,北京,2024.07.20 周六 20:00,100,https://detail.damai.com/item.htm?id=788513583887&clicktitle=大粉乐队「时光岛上」新专辑巡演  北京站
王喂马·彩色的人·2024巡演-郑州站,艺人：王喂马乐队,郑州,2024.06.21 周五 20:30,100-120,https://detail.damai.com/item.htm?id=800694220895&clicktitle=王喂马·彩色的人·2024巡演-郑州站
潮池蓝2024[今夜睡大街]巡演 哈尔滨站,,哈尔滨,2024.07.26 周五 19:30,110,https://detail.damai.com/item.htm?id=798101513883&clicktitle=潮池蓝2024[今夜睡大街]巡演 哈尔滨站
「风景」Chinese Football乐队 2024 巡演  长沙站,艺人：CHINESE FOOTBALL,长沙,2024.06.30 周日 20:00,120-150,https://detail.damai.com/item.htm?id=793045673766&clicktitle=「风景」Chinese Football乐队 2024 巡演  长沙站
【全坐席】日本指弹艺术家 GIN 新专辑「Rain」演奏会 广州站,艺人：GIN,广州,2024.06.15 周六 14:00,220-380,https://detail.damai.com/item.htm?id=778643188194&clicktitle=【全坐席】日本指弹艺术家 GIN 新专辑「Rain」演奏会 广州站
夏日JAZZ「Wes Montgomery Tribute」“慵懒”一夏——爵士Live House,,北京,2024.06.28 周五 19:30,280,https://detail.damai.com/item.htm?id=793594173130&clicktitle=夏日JAZZ「Wes Montgomery Tribute」“慵懒”一夏——爵士Live House
【限时早鸟7折】「经典重现」浪漫爵士LIVE之夜,,北京,2024.06.22 周六 19:30,288-520,https://detail.damai.com/item.htm?id=801390657618&clicktitle=【限时早鸟7折】「经典重现」浪漫爵士LIVE之夜
【石磊4ROCK】2024【磊叔的夏天】北京站,,北京,2024.06.14 周五 20:30,130,https://detail.damai.com/item.htm?id=795787539892&clicktitle=【石磊4ROCK】2024【磊叔的夏天】北京站
福田|青深民谣音乐会丨来临乐队丨童瑶丨任柏儒丨易文俊（指弹）深圳音乐厅嘉之华影城内,,深圳,2024.06.14-06.30,39-239,https://detail.damai.com/item.htm?id=758674817301&clicktitle=福田|青深民谣音乐会丨来临乐队丨童瑶丨任柏儒丨易文俊（指弹）深圳音乐厅嘉之华影城内
「秋毫之末」重型拼盘,,苏州,2024.06.22 周六 20:00,88-158,https://detail.damai.com/item.htm?id=799350408453&clicktitle=「秋毫之末」重型拼盘
暗杠「走歌人2024」巡演 昆明站,艺人：暗杠,昆明,2024.06.28 周五 20:00,128-298,https://detail.damai.com/item.htm?id=776337165683&clicktitle=暗杠「走歌人2024」巡演 昆明站
OldLeather旧皮革「深夜咆哮」2024巡演（西安站）,艺人：Old Leather 旧皮革,西安,2024.07.06 周六 20:00,79-139,https://detail.damai.com/item.htm?id=785823434757&clicktitle=OldLeather旧皮革「深夜咆哮」2024巡演（西安站）
光辉岁月—全球至燃追忆黄家驹31周年演唱会·永恒乐队限定广州返场,艺人：永恒乐队,广州,2024.06.30 周日 20:00,90-480,https://detail.damai.com/item.htm?id=764338964054&clicktitle=光辉岁月—全球至燃追忆黄家驹31周年演唱会·永恒乐队限定广州返场
井草圣二 2024《夏日独白》指弹吉他音乐会 杭州站,艺人：井草圣二,杭州,2024.08.04 周日 19:30,260-480,https://detail.damai.com/item.htm?id=798051964720&clicktitle=井草圣二 2024《夏日独白》指弹吉他音乐会 杭州站
寻找慈悲山｜悲剧药方X饮马池  哈尔滨专场演出,,哈尔滨,2024.06.21 周五 19:30,130,https://detail.damai.com/item.htm?id=799087832026&clicktitle=寻找慈悲山｜悲剧药方X饮马池  哈尔滨专场演出
国缘V9之夜沙宝亮 2024┗五二┛个人演唱会,艺人：沙宝亮,宿迁,2024.06.23 周日 19:30,488-1288,https://detail.damai.com/item.htm?id=801836056779&clicktitle=国缘V9之夜沙宝亮 2024┗五二┛个人演唱会
「万朵」—春日玫瑰2024新专辑巡演 重庆站,艺人：春日玫瑰,重庆,2024.07.06 周六 20:00,100-150,https://detail.damai.com/item.htm?id=777505958788&clicktitle=「万朵」—春日玫瑰2024新专辑巡演 重庆站
郁一凡「直至台风过境」2024个人巡演 济南站,,济南,2024.07.12 周五 20:00,80-128,https://detail.damai.com/item.htm?id=802791681730&clicktitle=郁一凡「直至台风过境」2024个人巡演 济南站
大粉乐队「时光岛上」新专辑巡演 南昌站,艺人：大粉乐队,南昌,2024.06.30 周日 20:00,100,https://detail.damai.com/item.htm?id=773952560442&clicktitle=大粉乐队「时光岛上」新专辑巡演 南昌站
方泂镔「你是好人也是个坏人」巡演深圳站,艺人：方泂镔,深圳,2024.06.27 周四 20:00,199-399,https://detail.damai.com/item.htm?id=788251864006&clicktitle=方泂镔「你是好人也是个坏人」巡演深圳站
齐一《生活万岁》2024巡演 郑州站,,郑州,2024.06.22 周六 20:00,138-168,https://detail.damai.com/item.htm?id=779667429898&clicktitle=齐一《生活万岁》2024巡演 郑州站
酒水畅饮「Lana Del Rey’S NIGHT」生日专场粉丝派对,,深圳,2024.06.21 周五 23:00,88-238,https://detail.damai.com/item.htm?id=803096701443&clicktitle=酒水畅饮「Lana Del Rey’S NIGHT」生日专场粉丝派对
泰国后摇大团 Inspirative「Invisible Bonds」2024 巡演 南京站,,南京,2024.06.21 周五 20:30,160,https://detail.damai.com/item.htm?id=795512276464&clicktitle=泰国后摇大团 Inspirative「Invisible Bonds」2024 巡演 南京站
Summer Shape 2024 夏日速写 · 杭州站,,杭州,2024.06.29-06.30,140-220,https://detail.damai.com/item.htm?id=783949699779&clicktitle=Summer Shape 2024 夏日速写 · 杭州站
6.15 银云SILVER CLOUD 2024 minitour VOL.5 桂林站,,桂林,2024.06.15 周六 20:30,65-150,https://detail.damai.com/item.htm?id=798422557175&clicktitle=6.15 银云SILVER CLOUD 2024 minitour VOL.5 桂林站
6.22｜NUBOND AIR 「聚核返硬」GWAIZIT、SHOOT THE GUN、REDTID,,深圳,2024.06.22 周六 20:00,66-220,https://detail.damai.com/item.htm?id=801465480020&clicktitle=6.22｜NUBOND AIR 「聚核返硬」GWAIZIT、SHOOT THE GUN、REDTID
新西兰治愈系民谣歌手Luke Thompson2024中国巡演 KEEP ROLLING ON,,杭州,2024.08.06 周二 20:00,180-380,https://detail.damai.com/item.htm?id=804144449643&clicktitle=新西兰治愈系民谣歌手Luke Thompson2024中国巡演 KEEP ROLLING ON
余梓桾X张子薇「雀儿来信」专场·南京站,,南京,2024.06.22 周六 20:00,100-120,https://detail.damai.com/item.htm?id=801206975748&clicktitle=余梓桾X张子薇「雀儿来信」专场·南京站
永恒乐队追忆家驹致敬BEYOND Unplugged不插电演唱会,,天津,2024.08.23 周五 19:30,180-480,https://detail.damai.com/item.htm?id=778154690553&clicktitle=永恒乐队追忆家驹致敬BEYOND Unplugged不插电演唱会
表情银行「你没看见魔王吗？」2024巡演 南京站,艺人：表情银行MimikBanka,南京,2024.06.16 周日 20:30,110-150,https://detail.damai.com/item.htm?id=800598851190&clicktitle=表情银行「你没看见魔王吗？」2024巡演 南京站
大粉乐队「时光岛上」新专辑巡演 成都站,艺人：大粉乐队,成都,2024.06.15 周六 20:00,100,https://detail.damai.com/item.htm?id=773915405734&clicktitle=大粉乐队「时光岛上」新专辑巡演 成都站
浅水ShallowEnd巡演2024CHINA TOUR「来世」石家庄站,,石家庄,2024.07.20 周六 20:00,79-99,https://detail.damai.com/item.htm?id=785793005191&clicktitle=浅水ShallowEnd巡演2024CHINA TOUR「来世」石家庄站
（早鸟六折）致敬BEYOND《真的爱你》·怀念家驹31周年金曲演唱会,,天津,2024.06.30 周日 19:30,30-480,https://detail.damai.com/item.htm?id=768517208291&clicktitle=（早鸟六折）致敬BEYOND《真的爱你》·怀念家驹31周年金曲演唱会
退格 2024 《变化之外》新专辑巡演厦门站,艺人：退格,厦门,2024.06.16 周日 20:30,100-120,https://detail.damai.com/item.htm?id=795783347913&clicktitle=退格 2024 《变化之外》新专辑巡演厦门站
VOCALOID「虚拟歌姬专场」,,西安,2024.06.16 周日 14:00,69-190,https://detail.damai.com/item.htm?id=802551156850&clicktitle=VOCALOID「虚拟歌姬专场」
「千万亿个梦」贰佰2024新专辑巡演 第二轮 杭州站,艺人：贰佰,杭州,2024.08.30 周五 20:00,150-180,https://detail.damai.com/item.htm?id=799123739841&clicktitle=「千万亿个梦」贰佰2024新专辑巡演 第二轮 杭州站
动物园钉子户「出发！浅滩公路疾行」2024巡演 杭州站,艺人：动物园钉子户,杭州,2024.08.18 周日 20:00,100-120,https://detail.damai.com/item.htm?id=795086287147&clicktitle=动物园钉子户「出发！浅滩公路疾行」2024巡演 杭州站
「万朵」—春日玫瑰2024新专辑巡演 武汉站,艺人：春日玫瑰,武汉,2024.06.28 周五 20:00,100-150,https://detail.damai.com/item.htm?id=777532685755&clicktitle=「万朵」—春日玫瑰2024新专辑巡演 武汉站
See Fresh海鲜计划VOL.22,,青岛,2024.06.23 周日 20:00,30,https://detail.damai.com/item.htm?id=803365893233&clicktitle=See Fresh海鲜计划VOL.22
挪威全能电声爵士三重奏Oddgeir Berg Trio中国巡演广州站,,广州,2024.06.12 周三 21:00,230-280,https://detail.damai.com/item.htm?id=801238101936&clicktitle=挪威全能电声爵士三重奏Oddgeir Berg Trio中国巡演广州站
郁一凡「直至台风过境」2024个人巡演 天津站,,天津,2024.07.13 周六 20:00,80-128,https://detail.damai.com/item.htm?id=802807836256&clicktitle=郁一凡「直至台风过境」2024个人巡演 天津站
摇滚进化旅｜梦龙乐队&美式狂欢音浪派对,,上海,2024.06.13 周四 20:00,100,https://detail.damai.com/item.htm?id=798078048412&clicktitle=摇滚进化旅｜梦龙乐队&美式狂欢音浪派对
【秀动呈献】欧陆顶级新派前卫金属「Unprocessed」首次亚洲巡回  南京站,,南京,2024.06.24 周一 20:00,140,https://detail.damai.com/item.htm?id=796653551717&clicktitle=【秀动呈献】欧陆顶级新派前卫金属「Unprocessed」首次亚洲巡回  南京站
孟大宝2024《靠近我》城市巡回  哈尔滨站,艺人：孟大宝,哈尔滨,2024.06.28 周五 19:00,100-120,https://detail.damai.com/item.htm?id=781572572423&clicktitle=孟大宝2024《靠近我》城市巡回  哈尔滨站
VIP CN珠海站｜bigbang fans party,,珠海,2024.07.06 周六 20:00,68-98,https://detail.damai.com/item.htm?id=795846914594&clicktitle=VIP CN珠海站｜bigbang fans party
《时光机2008·青春重启计划》演唱会,,上海,2024.07.19 周五 20:00,128-399,https://detail.damai.com/item.htm?id=802652230480&clicktitle=《时光机2008·青春重启计划》演唱会
浅水ShallowEnd巡演2024CHINA TOUR「来世」苏州站,,苏州,2024.07.06 周六 20:00,79-99,https://detail.damai.com/item.htm?id=797153113698&clicktitle=浅水ShallowEnd巡演2024CHINA TOUR「来世」苏州站
表情银行「你没看见魔王吗？」2024巡演 深圳站,,深圳,2024.06.28 周五 20:30,110-150,https://detail.damai.com/item.htm?id=801072526672&clicktitle=表情银行「你没看见魔王吗？」2024巡演 深圳站
大粉乐队「时光岛上」新专辑巡演 大连站,艺人：大粉乐队,大连,2024.10.18 周五 20:00,100,https://detail.damai.com/item.htm?id=804190032939&clicktitle=大粉乐队「时光岛上」新专辑巡演 大连站
怪兽计划乐队『请瞄准我的心脏』2024巡演 深圳站,,深圳,2024.07.06 周六 20:00,68-88,https://detail.damai.com/item.htm?id=801594848934&clicktitle=怪兽计划乐队『请瞄准我的心脏』2024巡演 深圳站
布衣乐队《回到未来》巡演长沙站,艺人：布衣乐队,长沙,2024.06.22 周六 20:00,150,https://detail.damai.com/item.htm?id=775024539886&clicktitle=布衣乐队《回到未来》巡演长沙站
【玄音肆愿金属音乐节Vol.4沈阳】黑麒|暗狱|冻月|异论,,沈阳,2024.06.22 周六 19:00,220,https://detail.damai.com/item.htm?id=781677642510&clicktitle=【玄音肆愿金属音乐节Vol.4沈阳】黑麒|暗狱|冻月|异论
动物园钉子户「出发！浅滩公路疾行」2024巡演 南京站,艺人：动物园钉子户,南京,2024.08.25 周日 20:00,100-120,https://detail.damai.com/item.htm?id=796375208205&clicktitle=动物园钉子户「出发！浅滩公路疾行」2024巡演 南京站
《千年等一回》传世国风唯美音乐会·聊城站,,聊城,2024.08.17 周六 19:30,49-280,https://detail.damai.com/item.htm?id=801973626546&clicktitle=《千年等一回》传世国风唯美音乐会·聊城站
帆布小镇「色彩人生」2024巡演 太原站,艺人：帆布小镇乐队,太原,2024.06.21 周五 20:00,150-239,https://detail.damai.com/item.htm?id=773193595423&clicktitle=帆布小镇「色彩人生」2024巡演 太原站
Groove Coverage舞动精灵乐团2024中国巡演-成都站,艺人：舞动精灵乐团 （Groove Coverage）,成都,2024.07.19 周五 20:00,280-680,https://detail.damai.com/item.htm?id=779591996774&clicktitle=Groove Coverage舞动精灵乐团2024中国巡演-成都站
日本指弹艺术家 GIN 2024新专辑「Rain」演奏会 北京站,艺人：GIN,北京,2024.06.30 周日 19:00,220-380,https://detail.damai.com/item.htm?id=777399259031&clicktitle=日本指弹艺术家 GIN 2024新专辑「Rain」演奏会 北京站
天才归来 | 千贺太郎Taro Aika's Special Band 2024中国巡演 昆明站,,昆明,2024.06.23 周日 20:00,180-480,https://detail.damai.com/item.htm?id=783570989186&clicktitle=天才归来 | 千贺太郎Taro Aika's Special Band 2024中国巡演 昆明站
MOJOHAND十周年巡演 重庆站,,重庆,2024.08.17 周六 20:30,120,https://detail.damai.com/item.htm?id=803677138336&clicktitle=MOJOHAND十周年巡演 重庆站
齐一《生活万岁》2024巡演 上海站,,上海,2024.07.20 周六 20:00,138-168,https://detail.damai.com/item.htm?id=794966821930&clicktitle=齐一《生活万岁》2024巡演 上海站
厨子和戏子“溯”十周年巡演成都站,,成都,2024.07.26 周五 20:00,128-158,https://detail.damai.com/item.htm?id=800546085382&clicktitle=厨子和戏子“溯”十周年巡演成都站
「不确定因素」独立乐队拼盘,,长沙,2024.06.19 周三 20:00,28,https://detail.damai.com/item.htm?id=800340944572&clicktitle=「不确定因素」独立乐队拼盘
纪念黄家驹逝世31周年 麦朵乐队致敬Beyond专场演出,,天津,2024.06.30 周日 20:00,60,https://detail.damai.com/item.htm?id=799778487273&clicktitle=纪念黄家驹逝世31周年 麦朵乐队致敬Beyond专场演出
欧美CN北京站 ｜ Taylor Swift 专场,,北京,2024.07.13 周六 20:00,68-98,https://detail.damai.com/item.htm?id=801798125620&clicktitle=欧美CN北京站 ｜ Taylor Swift 专场
「青春回忆KTV」放声歌唱出我们的青春回忆！｜永庆坊CLUB厅 全场畅饮,,广州,2024.06.14-06.15,60-130,https://detail.damai.com/item.htm?id=801110250646&clicktitle=「青春回忆KTV」放声歌唱出我们的青春回忆！｜永庆坊CLUB厅 全场畅饮
大粉乐队「时光岛上」新专辑巡演 重庆站,艺人：大粉乐队,重庆,2024.06.16 周日 20:00,100,https://detail.damai.com/item.htm?id=773927093240&clicktitle=大粉乐队「时光岛上」新专辑巡演 重庆站
天才归来 | 千贺太郎Taro Aika's Special Band 2024中国巡演 北京站,,北京,2024.06.27 周四 20:00,180-480,https://detail.damai.com/item.htm?id=783475215234&clicktitle=天才归来 | 千贺太郎Taro Aika's Special Band 2024中国巡演 北京站
新加坡后摇名团PAINT THE SKY RED解散告别巡演上海站,,上海,2024.06.15 周六 20:00,160-180,https://detail.damai.com/item.htm?id=798051428208&clicktitle=新加坡后摇名团PAINT THE SKY RED解散告别巡演上海站
脑浊乐队2024年“SOS”夏季巡演 福州站,艺人：脑浊乐队,福州,2024.07.12 周五 20:00,100-240,https://detail.damai.com/item.htm?id=795031544049&clicktitle=脑浊乐队2024年“SOS”夏季巡演 福州站
第五届「陆壹捌」室内金属音乐节！重铸战壕！We back!,,温州,2024.06.15 周六 19:30,120-140,https://detail.damai.com/item.htm?id=786753682678&clicktitle=第五届「陆壹捌」室内金属音乐节！重铸战壕！We back!
7.7「KPOPALLNIGHT周日特辑」一位舞台专场 派对,,上海,2024.07.07 周日 19:30,99-228,https://detail.damai.com/item.htm?id=803074727210&clicktitle=7.7「KPOPALLNIGHT周日特辑」一位舞台专场 派对
LACRIMOSA以泪洗面2024《激情》巡演 广州站,,广州,2024.06.23 周日 20:00,380-980,https://detail.damai.com/item.htm?id=789325819778&clicktitle=LACRIMOSA以泪洗面2024《激情》巡演 广州站
交响摇滚版《风暴》墨西哥时空乐队&电子古典跨界音乐会 深圳站,,深圳,2024.07.28 周日 20:00,180-380,https://detail.damai.com/item.htm?id=795840861744&clicktitle=交响摇滚版《风暴》墨西哥时空乐队&电子古典跨界音乐会 深圳站
【不识时务】李智&乐队2024新专辑巡演 南京站,艺人：李智&乐队,南京,2024.06.22 周六 20:30,90,https://detail.damai.com/item.htm?id=785788097237&clicktitle=【不识时务】李智&乐队2024新专辑巡演 南京站
黄绮珊「晚霞·不晚」2024巡回演唱会-成都站,艺人：黄绮珊,成都,2024.07.13 周六 19:30,380-1280,https://detail.damai.com/item.htm?id=798542775949&clicktitle=黄绮珊「晚霞·不晚」2024巡回演唱会-成都站
MOJOHAND十周年巡演 天津站,,天津,2024.08.31 周六 20:00,120,https://detail.damai.com/item.htm?id=804439529134&clicktitle=MOJOHAND十周年巡演 天津站
天才归来 | 千贺太郎Taro Aika's Special Band 2024中国巡演 上海站,,上海,2024.06.13 周四 20:00,180-480,https://detail.damai.com/item.htm?id=783427723677&clicktitle=天才归来 | 千贺太郎Taro Aika's Special Band 2024中国巡演 上海站
帆布小镇「色彩人生」2024巡演 深圳站,,深圳,2024.06.14 周五 20:00,150,https://detail.damai.com/item.htm?id=773075938238&clicktitle=帆布小镇「色彩人生」2024巡演 深圳站
《重温·旧日的足迹》致敬BEYOND金曲音乐会 特邀嘉宾：王喂马,艺人：王喂马乐队,太原,2024.06.14 周五 20:30,50-120,https://detail.damai.com/item.htm?id=778680818793&clicktitle=《重温·旧日的足迹》致敬BEYOND金曲音乐会 特邀嘉宾：王喂马
舌头乐队x突突二重奏X李剑鸿 中国摇滚特别现场,艺人：舌头乐队,上海,2024.06.16 周日 19:50,280,https://detail.damai.com/item.htm?id=803825273363&clicktitle=舌头乐队x突突二重奏X李剑鸿 中国摇滚特别现场
阿黛尔&艾德希兰 致敬专题音乐会,,上海,2024.06.20 周四 20:00,150-240,https://detail.damai.com/item.htm?id=786830035447&clicktitle=阿黛尔&艾德希兰 致敬专题音乐会
新西兰治愈系民谣歌手Luke Thompson2024巡演 KEEP ROLLING ON【武汉站】,,武汉,2024.08.08 周四 20:00,178-228,https://detail.damai.com/item.htm?id=803651190894&clicktitle=新西兰治愈系民谣歌手Luke Thompson2024巡演 KEEP ROLLING ON【武汉站】
2024 Killer Dragon杀手龙“I M ON MY WAY”巡演广州站,,广州,2024.07.23 周二 20:00,100,https://detail.damai.com/item.htm?id=802434081332&clicktitle=2024 Killer Dragon杀手龙“I M ON MY WAY”巡演广州站
「“放”纵不羁」一起放纵于复古/劲爆/浪漫的音乐中｜永庆坊CLUB厅 全场畅饮,,广州,2024.06.15-06.16,60-130,https://detail.damai.com/item.htm?id=802801873605&clicktitle=「“放”纵不羁」一起放纵于复古/劲爆/浪漫的音乐中｜永庆坊CLUB厅 全场畅饮
ALexandr Misko 2024 《进化时间》指弹吉他音乐会 珠海站,,珠海,2024.07.17 周三 20:00,240-380,https://detail.damai.com/item.htm?id=795393626725&clicktitle=ALexandr Misko 2024 《进化时间》指弹吉他音乐会 珠海站
小 雨 乐 队  《 一 霎 千 尘》  2024 新专辑全国巡演-深圳站,艺人：小雨乐队,深圳,2024.07.13 周六 20:00,120-150,https://detail.damai.com/item.htm?id=800142314814&clicktitle=小 雨 乐 队  《 一 霎 千 尘》  2024 新专辑全国巡演-深圳站
LikeKpop「BTS十一周年Army派对」广州站,,广州,2024.06.30 周日 13:30,77-377,https://detail.damai.com/item.htm?id=793549909594&clicktitle=LikeKpop「BTS十一周年Army派对」广州站
大粉乐队「时光岛上」新专辑巡演 郑州站,艺人：大粉乐队,郑州,2024.07.07 周日 20:00,100,https://detail.damai.com/item.htm?id=773930201571&clicktitle=大粉乐队「时光岛上」新专辑巡演 郑州站
泰勒斯威夫特专题派对1.0（中山站）,,中山,2024.07.20 周六 20:00,99-199,https://detail.damai.com/item.htm?id=793967200079&clicktitle=泰勒斯威夫特专题派对1.0（中山站）
动物园钉子户「出发！浅滩公路疾行」2024巡演 重庆站,艺人：动物园钉子户,重庆,2024.07.12 周五 20:00,100-120,https://detail.damai.com/item.htm?id=794687521714&clicktitle=动物园钉子户「出发！浅滩公路疾行」2024巡演 重庆站
布衣乐队《回到未来》巡演宜昌站,艺人：布衣乐队,宜昌,2024.06.19 周三 20:00,150,https://detail.damai.com/item.htm?id=778436540317&clicktitle=布衣乐队《回到未来》巡演宜昌站
大粉乐队「时光岛上」新专辑巡演 西安站,艺人：大粉乐队,西安,2024.06.14 周五 20:00,100,https://detail.damai.com/item.htm?id=773901059826&clicktitle=大粉乐队「时光岛上」新专辑巡演 西安站
从法国到瑞士的爵士之旅| Arbenz X Mehari X Veras  中国巡演·广州站,,广州,2024.06.20 周四 21:00,108-168,https://detail.damai.com/item.htm?id=802278955848&clicktitle=从法国到瑞士的爵士之旅| Arbenz X Mehari X Veras  中国巡演·广州站
OldLeather旧皮革「深夜咆哮」2024巡演（银川站）,艺人：Old Leather 旧皮革,银川,2024.06.15 周六 20:00,79-139,https://detail.damai.com/item.htm?id=785900637148&clicktitle=OldLeather旧皮革「深夜咆哮」2024巡演（银川站）
「千万亿个梦」贰佰2024新专辑巡演 第二轮 长治站,艺人：贰佰,长治,2024.09.27 周五 20:00,150-180,https://detail.damai.com/item.htm?id=803543939556&clicktitle=「千万亿个梦」贰佰2024新专辑巡演 第二轮 长治站
月亮代表我的心——陈佳邓丽君2024经典金曲中秋演唱会,,天津,2024.09.16 周一 19:30,50-880,https://detail.damai.com/item.htm?id=771889937700&clicktitle=月亮代表我的心——陈佳邓丽君2024经典金曲中秋演唱会
歌之初乐队「那就出发吧」巡演 福州站,艺人：歌之初乐队,福州,2024.07.05 周五 20:00,100-228,https://detail.damai.com/item.htm?id=798475168997&clicktitle=歌之初乐队「那就出发吧」巡演 福州站
发条月亮【天体引力】2024巡演 武汉站,,武汉,2024.07.27 周六 20:00,138-258,https://detail.damai.com/item.htm?id=803799073110&clicktitle=发条月亮【天体引力】2024巡演 武汉站
致敬传奇*海阔天空-纪念beyond经典金曲演唱会,,武汉,2024.06.23 周日 19:30,180-480,https://detail.damai.com/item.htm?id=758410028456&clicktitle=致敬传奇*海阔天空-纪念beyond经典金曲演唱会
上海 | 6.14 「Sparkling Gem」95后爵士精灵Andrea Motis四重奏音乐会,,上海,2024.06.14 周五 20:00,320,https://detail.damai.com/item.htm?id=798907075420&clicktitle=上海 | 6.14 「Sparkling Gem」95后爵士精灵Andrea Motis四重奏音乐会
